name,parent,value
Origin,,
Artificial intelligence,Origin,40.1
Machine learning,Origin,19.96
Machine-to-Machine,Origin,16.12
Robotics,Origin,7.14
Control system,Origin,5.46
Completely automated,Origin,4.1
Artificial neural network,Origin,2.61
Automatic control,Origin,2
Process automation,Origin,1.36
Computer-aided design,Origin,1.15
