name,parent,value,myid
Origin,,,
Artificial intelligence,Origin,40.1,1
Machine learning,Origin,19.96,2
Machine-to-Machine,Origin,16.12,3
Robotics,Origin,7.14,4
Control system,Origin,5.46,5
Completely automated,Origin,4.1,6
Artificial neural network,Origin,2.61,7
Automatic control,Origin,2,8
Process automation,Origin,1.36,9
Computer-aided design,Origin,1.15,10
