value,name
84.91,New markets
4.12,Digital enabler
2.73,API
2.53,Cross sector
2.09,Digital invader
1.93,Invisible competition
1.38,Convergent solutions
0.17,Ubiqitious Communication
0.08,Bring-your-own-device
0.06,WebRTC
