name,parent,value,myid
Origin,,,
Innovation,Origin,39.64,1
Scrum,Origin,20.3,2
Innovation approaches,Origin,18.19,3
Additive manufacturing,Origin,6.73,4
Six Sigma,Origin,6.62,5
Rapid Idea Prototyping,Origin,3.94,6
Lean Manufacturing,Origin,2.11,7
Kaizen,Origin,1.39,8
Proactive Risk Management,Origin,1.28,9
Predictive logistics,Origin,0.7,10
