name,parent,value,myid
Origin,,,
Disruptive technologies,Origin,35.87,1
Disruptive business model,Origin,23.59,2
Artificial intelligence,Origin,20.41,3
Disruptive revenue model,Origin,6.47,4
Business Model Patterns,Origin,5.44,5
Innovation Funding,Origin,4.13,6
Disruption,Origin,1.86,7
Disruptive offering model,Origin,1.13,8
Quantum computing,Origin,1,9
Build to order,Origin,0.11,10
