name,parent,value,myid
Origin,,,
Coworking,Origin,32.43,1
Cryptocurrencies,Origin,20.1,2
Outsourcing,Origin,19.97,3
Peer-to-peer,Origin,9.6,4
Matchmaking,Origin,4.76,5
Distributed Ledger Technology,Origin,3.25,6
Smart contract,Origin,3.11,7
Crowd Funding,Origin,2.77,8
Micro Services,Origin,2.46,9
Open innovation,Origin,1.55,10
