name,parent,value,myid
Origin,,,
Migration,Origin,82.96,1
urban development,Origin,8.23,2
age structure,Origin,4.67,3
mortality rate,Origin,3.01,4
birthrate,Origin,0.61,5
sex ratio,Origin,0.33,6
household size,Origin,0.11,7
income structure,Origin,0.08,8
