name,parent,value,myid
Origin,,,
Market research,Origin,47.24,1
Always available,Origin,12.54,2
Market development,Origin,10.45,3
Diversification,Origin,10.32,4
Sustainability,Origin,5,5
Product differentiation,Origin,3.7,6
Tailoring,Origin,3.67,7
Customer loyalty,Origin,2.93,8
Affiliate Marketing,Origin,2.53,9
Sharing economy,Origin,1.62,10
