name,parent,value,myid
Origin,,,
AR glasses,Origin,26.8,1
Mixed reality,Origin,23.3,2
Virtual Reality,Origin,18.7,3
Augmented Reality,Origin,12.8,4
Virtual showroom,Origin,4.37,5
E-Commerce,Origin,4.25,6
VR glasses,Origin,3.44,7
Intelligent Virtual Assistant,Origin,3.11,8
Virtual service,Origin,2.19,9
Machine monitoring,Origin,2.3,10
