name,parent,value,myid
Origin,,,
Cleantech Investment,Origin,41.61,1
Renewable energy,Origin,24.35,2
Energy efficiency,Origin,10.6,3
Carbon Footprint,Origin,6.3,4
Corporate social responsibility,Origin,3.89,5
Social sustainability,Origin,3.35,6
Community-Focused Housing,Origin,3.13,7
Fair trade,Origin,2.74,8
Electric vehicle,Origin,2.19,9
Sustainable food,Origin,1.83,10
