name,parent,value,myid
Origin,,,
New markets,Origin,84.91,1
Digital enabler,Origin,4.12,2
API,Origin,2.73,3
Cross sector,Origin,2.53,4
Digital invader,Origin,2.9,5
Invisible competition,Origin,1.93,6
Convergent solutions,Origin,1.38,7
Ubiqitious Communication,Origin,0.17,8
Bring-your-own-device,Origin,0.8,9
WebRTC,Origin,0.6,10
